epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,332.307,1.25219,0.82392,1.04297,0.77365,0.64793,0.70287,0.42052,1.36278,0.97481,1.00721,0.0093367,0.0093367,0.0093367
69,336.996,1.27351,0.82955,1.04445,0.78153,0.65503,0.7087,0.41267,1.40632,0.98109,1.038,0.0093268,0.0093268,0.0093268
70,341.745,1.25028,0.81084,1.04404,0.78648,0.6452,0.69982,0.41211,1.38063,0.98416,1.0208,0.0093169,0.0093169,0.0093169
71,346.513,1.25225,0.81981,1.04023,0.78746,0.65845,0.70542,0.41843,1.3424,0.96063,1.00399,0.009307,0.009307,0.009307
72,351.247,1.22598,0.79058,1.03419,0.80731,0.64534,0.70341,0.41672,1.35223,0.97609,1.01588,0.0092971,0.0092971,0.0092971
73,356.142,1.23026,0.80134,1.03775,0.79936,0.6534,0.70456,0.41923,1.35782,0.97002,1.00974,0.0092872,0.0092872,0.0092872
74,360.964,1.25683,0.81227,1.04172,0.79089,0.65749,0.70426,0.40888,1.38615,0.96644,1.02513,0.0092773,0.0092773,0.0092773
75,365.663,1.26076,0.80507,1.03824,0.76474,0.6679,0.71156,0.42781,1.31725,0.96965,0.99089,0.0092674,0.0092674,0.0092674
76,370.463,1.23686,0.78574,1.03172,0.79576,0.6636,0.7122,0.42327,1.33206,0.95671,1.00138,0.0092575,0.0092575,0.0092575
77,375.229,1.23986,0.80505,1.04149,0.78347,0.64678,0.7065,0.42495,1.33149,0.98053,0.99657,0.0092476,0.0092476,0.0092476
78,379.907,1.22787,0.79004,1.03291,0.78751,0.66992,0.71244,0.42432,1.32962,0.96521,1.00189,0.0092377,0.0092377,0.0092377
79,384.682,1.24318,0.79711,1.03268,0.77969,0.66138,0.70864,0.41905,1.36097,0.96378,1.00121,0.0092278,0.0092278,0.0092278
80,389.545,1.22663,0.78006,1.03737,0.77356,0.66629,0.70975,0.42135,1.36451,0.94878,1.02269,0.0092179,0.0092179,0.0092179
